name,symptom,drug
僵鉧,['第1跖趾关节疼...'],"['通滞苏润江胶囊', '奥沙普秦肠溶片', '吡罗昔康片', '双蚁祛湿通络胶囊', '阿司匹林肠溶胶囊', '麝香壮骨膏', '洛索洛芬钠胶囊', '盐酸左氧氟沙星胶囊', '骨肽片', '注射用头孢唑林钠', '布洛芬缓释胶囊', '骨筋丸胶囊', '酮洛芬缓释胶囊', '布洛芬凝胶', '抗骨增生片', '双醋瑞因胶囊', '氧氟沙星片', '尼美舒利胶囊', '消炎镇痛膏', '乳酸左氧氟沙星片']"
胫后神经痛,"['神经痛', '踝及足麻木和有灼痛感', '踝关节疼痛']","['通滞苏润江胶囊', '汉防己甲素片', '布洛芬颗粒', '对乙酰氨基酚口服溶液', '阿司匹林肠溶胶囊', '复方硫酸软骨素片', '麝香壮骨膏', '布洛芬缓释胶囊', '布洛芬片', '对乙酰氨基酚颗粒', '去痛片', '关节镇痛膏', '腰息痛胶囊', '颅痛宁颗粒', '消炎镇痛膏', '甲钴胺片']"
眶底骨折,"['南朝霞', '眶底爆折', '眼球突出', '眼眶内持续性、...', '眼眶疼痛', '复视']","['眼氨肽注射液', '阿米卡星洗剂', '七厘散', '乳酸依沙吖啶溶液', '三七片', '维生素C注射液', '环孢素滴眼液']"
髋关节脱位,"['髋外侧肿胀压痛', '髋部酸胀不适', '大腿以下或膝以...', '髋外侧可见皮下瘀血斑', '大转子叩痛']","['跳骨片', '盐酸氨基葡萄糖胶囊']"
髋关节结核,"['疲劳', '无力', '臀沟展平和下垂', '儿童不敢平卧睡觉', '食欲减退', '持续性疼痛', '低热', '消瘦', '营养障碍']","['利福喷丁胶囊', '盐酸乙胺丁醇片', '异烟肼片', '利福平胶囊', '吡嗪酰胺片', '丙硫异烟胺肠溶片']"
肋锁综合征,"['紫绀', '颈部强硬', '颈后及肩部皮肤发硬', '侧肋骨痛', '颈肩痛', '上肢麻木']",[]
梨状肌综合征,"['下肢肿胀和乏力', '睡眠障碍', '下肢放射痛', '下肢的感觉，肌...']",[]
Maffucci综合征,"['膝内翻', '扁平足', '髋内翻']","['复方环磷酰胺片', '甲氨蝶呤片', '转移因子注射液', '顺铂注射液']"
慢性化脓性骨髓炎,"['死骨', '骨髓损害', '肌肉萎缩']","['替硝唑胶囊', '盐酸米诺环素胶囊', '盐酸克林霉素棕榈酸酯干混悬剂', '盐酸环丙沙星片', '丹参酮胶囊', '盐酸左氧氟沙星胶囊', '盐酸左氧氟沙星分散片', '4:1分散片', '替硝唑片', '注射用头孢曲松钠', '盐酸克林霉素胶囊', '阿莫西林双氯西林钠胶囊', '骨炎灵片', '盐酸克林霉素棕榈酸酯分散片', '八味秦皮丸', '氧氟沙星片', '乳酸左氧氟沙星片']"
难产,"['颅内出血', '产道裂伤', '骨软化症骨盆', '骨软化', '扁平骨盆', '臀产式', '乏力', '中骨盆狭窄']","['保胎无忧胶囊', '保胎无忧散', '盐酸罗哌卡因注射液', '注射用盐酸罗哌卡因', '保胎无忧片']"
颞骨骨折,"['耳漏', '耳聋', '上睑下垂', '恶心', '复视', '脑膜炎']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
颞下颌关节脱位,"['下颌前突', '呈开口状态而不能闭合', '衣玉品', '吞咽困难', '咬肌肥大']",[]
颞下颌关节强直,"['牙关紧闭', '进食困难']",[]
颧骨骨折,"['眼球移位', '颧面部塌陷', '瘀斑', '颧骨额骨下陷', '复视']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
缺血性坏死,"['距骨坏死', '回肠重复畸形', '肌肉坏死', '大转子叩痛', '肌肉萎缩']","['泻痢消片', '千喜胶囊', '金胃泰胶囊', '千喜片', '胃乐新胶囊']"
屈肌腱损伤,"['肌腱断裂', '肌腱粘连', '指间关节不能屈曲', '肌肉完全断裂', '肌腱拉伤', '肌肉拉伤', '肌肉砸伤', '肌肉挫伤']","['大活络丸', '红药片', '关节止痛膏', '麝香壮骨膏', '麝香镇痛膏', '独一味颗粒', '伤科七味片', '舒筋活血片', '威灵骨刺膏', '生三七散', '吲哚美辛肠溶片', '跌打扭伤灵酊', '辣椒碱乳膏', '伤科跌打片', '狗皮膏', '舒筋活血胶囊', '复方水杨酸甲酯苯海拉明喷雾剂', '消炎镇痛膏', '依托芬那酯凝胶']"
前斜角肌综合征,"['肩胛带的肌肉不发达', '前臂和腕部的疼痛', '小指感觉消失', '拇指和食指不能...', '下垂肩']",[]
桡骨小头骨骺分离,"['肘外侧肿痛及功能障碍', '肘部的肿胀压痛', '肘痛']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
桡骨下端骨折,"['腕部肿胀压痛', '腕关节扭挫伤', '腕部疼痛', '腕关节桡侧部位的疼痛']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
桡骨颈骨折,['前臂旋转痛'],"['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
桡骨、尺骨茎突骨折,"['前臂旋转痛', '前臂有旋前畸形', '前臂外侧和手指...', '前臂外伤后疼痛', '前臂短缩']","['双虎肿痛宁', '骨肽片', '三七片', '骨炎灵片', '伤科跌打片', '麝香接骨胶囊', '跌打丸', '独一味片', '伸筋丹胶囊', '灵仙跌打片', '鹿瓜多肽注射液', '复方三七胶囊', '云南白药', '舒筋活血片', '伤科跌打丸', '跌打损伤丸', '骨松宝胶囊', '8-11', '接骨七厘片', '独一味软胶囊', '舒筋活血胶囊', '复方骨肽注射液']"
桡骨小头半脱位,"['肘部扭伤', '肘关节不能屈曲', '肘痛']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
软骨肉瘤,"['纤维结构不良', '骨囊肿', '骨痛', '衣玉品', '放射性疼痛']","['复方环磷酰胺片', '甲氨蝶呤片', '转移因子注射液', '顺铂注射液']"
软骨瘤,"['指(趾)肿胀', '骨痛', '前臂有旋前畸形', '膝内翻膝外翻或髋内翻', '弥漫性骨膜增厚']","['复方环磷酰胺片', '甲氨蝶呤片', '转移因子注射液', '顺铂注射液']"
软骨发育异常,"['多指（趾）畸形', '膝内翻膝外翻或髋内翻', '手部功能完全丧失']","['小儿四维葡钙颗粒', '阿法骨化醇片', '醋酸钙颗粒', '阿法骨化醇胶囊', '龙牡壮骨颗粒', '维B1乳酸钙片', '三维鱼肝油乳', '阿法骨化醇软胶囊']"
软骨发育不全,"['肘关节畸形', '下颌前突', '颈部可前屈，怕仰伸', '颈部怕前屈，怕仰伸', '闫鹏辉', '肢体短缩畸形']","['小儿四维葡钙颗粒', '阿法骨化醇片', '醋酸钙颗粒', '阿法骨化醇胶囊', '龙牡壮骨颗粒', '维B1乳酸钙片', '三维鱼肝油乳', '阿法骨化醇软胶囊']"
桡骨小头骨折,"['前臂有旋前畸形', '前臂旋后功能受限', '前臂和腕部的疼痛', '前臂旋转痛']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
桡骨远端骨折,"['腕部疼痛', '手腕肿痛及掌屈...', '腕部肿胀压痛', '腕关节扭挫伤', '腕关节向尺侧偏...']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
松毛虫性骨关节病,"['斑丘疹', '乏力']","['阿司匹林肠溶片', '硫酸氨基葡萄糖片', '阿司匹林肠溶胶囊', '硫酸氨基葡萄糖胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片', '乳酸左氧氟沙星片']"
锁骨骨折,"['上肢外展上举困难', '官爵银', '气胸']","['三七胶囊', '跌打丸', '止血镇痛胶囊', '活血止痛散', '复方骨肽注射液', '接骨续筋片']"
枢椎齿状突骨折,"['无力', '神经痛', '颈部僵硬', '枕部和颈后疼痛', '截瘫']","['接骨续筋片', '止血镇痛胶囊', '阿仑膦酸钠片']"
神经性关节病,['胀痛'],"['阿司匹林肠溶片', '硫酸氨基葡萄糖片', '阿司匹林肠溶胶囊', '硫酸氨基葡萄糖胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片', '乳酸左氧氟沙星片']"
神经卡压综合征,"['类风湿关节炎', '瘫痪', '肩痛', '感觉障碍', '囊肿', '营养障碍', '肌肉萎缩']",['甲钴胺分散片']
伸指肌腱损伤,"['肌腱断裂', '肌腱粘连', '手指歪斜', '指间关节不能屈曲', '肌肉完全断裂', '肌肉砸伤', '指节垫', '肌腱端炎', '肌肉挫伤']","['关节止痛膏', '双氯芬酸钠肠溶片', '三七片', '吲哚美辛胶囊', '氯唑沙宗片']"
少年性椎体骨软骨病,"['驼背', '胸廓狭窄而扁', '肩胛骨突出']","['小儿四维葡钙颗粒', '阿法骨化醇片', '醋酸钙颗粒', '阿法骨化醇胶囊', '龙牡壮骨颗粒', '维B1乳酸钙片', '三维鱼肝油乳', '阿法骨化醇软胶囊']"
色素绒毛结节性滑膜炎,"['占思乔', '肌肉萎缩']","['洛索洛芬钠片', '元七骨痛酊', '附桂骨痛胶囊']"
同型胱氨酸尿症,"['肝脾肿大', '紧张', '脊柱侧弯', '骨质疏松', '酮症酸中毒', '冠状动脉栓塞', '尿中有特殊鼠臭味', '反应迟钝', '惊厥']",['盐酸沙丙蝶呤片']
退变性关节病,[],"['小儿四维葡钙颗粒', '六味壮骨颗粒', '骨松宝胶囊', '全鹿丸', '醋酸钙颗粒', '骨化三醇胶丸', '碳酸钙片', '碳酸钙咀嚼片', '特立帕肽注射液', '牡蛎碳酸钙胶囊', '鲑降钙素注射液', '阿仑膦酸钠片', '枸橼酸钙片', '骨疏康颗粒', '丹杞颗粒', '碳酸钙颗粒', '强骨生血口服液']"
听小骨创伤,"['听力缺陷', '传导性耳聋', '耳痛', '耳前庭听觉失衡']","['当归龙荟胶囊', '益气聪明丸', '耳聋左慈丸', '龙胆泻肝丸', '尼群地平片', '耳聋通窍丸', '愈风宁心片', '补肾益脑胶囊', '龙胆泻肝片', '磁朱丸']"
特发性脊柱侧凸,"['背痛', '髋关节发育不良', '骨质疏松', '脊髓病变', '婴儿脊柱侧凸', '腰部僵硬及腰前凸消失', '脊柱弯曲']",[]
透明细胞软骨肉瘤,['肩关节活动受限'],"['复方环磷酰胺片', '甲氨蝶呤片', '转移因子注射液', '顺铂注射液']"
维生素D缺乏性佝偻病,"['夜惊', '脊柱侧弯', '骨软化', '胸廓畸形', '膝内翻', '脱发', '脊柱弯曲']","['阿胶牡蛎口服液', '小儿四维葡钙颗粒', '醋酸钙颗粒', '骨化三醇胶丸', '碳酸钙片', '维生素AD滴剂', '维磷葡钙片', '碳酸钙咀嚼片', '三维钙片', '胆维丁乳', '胶囊型', '乳酸钙颗粒', '牡蛎碳酸钙胶囊', '枸橼酸钙片', '阿法骨化醇软胶囊', '碳酸钙颗粒', '强骨生血口服液']"
无脊髓损伤的颈椎骨折脱位,"['脊髓压迫', '神经根刺激', '颈椎骨折脱位', '颈部疼痛']","['止血镇痛胶囊', '阿仑膦酸钠肠溶片', '阿仑膦酸钠片', '接骨片', '接骨续筋片']"
腕舟骨骨折,"['腕部肿胀压痛', '手腕在大拇指侧的疼痛', '腕部疼痛', '手腕肿痛及掌屈...']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
腕管综合征,"['拇、食、中三指...', '手指麻痛', '产后手指痛', '无力', '胳膊疼痛', '手指发僵疼痛', '食指和中指僵硬痛麻', '发绀', '营养障碍', '肌肉萎缩']",['牛痘疫苗致炎兔皮提取物注射液']
腕关节结核,"['闫铁', '骨质疏松', '骨痛', '手腕长骨刺', '死骨', '盗汗', '腕下垂', '低热', '软组织肿胀', '腕背侧或掌侧的...']",['牛痘疫苗致炎兔皮提取物注射液']
斜颈,"['进行性颈部肿块', '面部畸形']",[]
先天性肘关节融合,"['前臂有旋前畸形', '肌肉萎缩']","['双蚁祛湿通络胶囊', '盐酸左氧氟沙星胶囊', '骨肽片', '甲磺酸培氟沙星片', '右旋酮洛芬氨丁三醇片', '洛索洛芬钠胶囊', '抗骨增生片', '消炎镇痛膏', '尼美舒利胶囊', '双氯芬酸钠肠溶片', '布洛芬凝胶', '左氧氟沙星片', '复方雪莲胶囊', '酮洛芬缓释胶囊', '乳酸左氧氟沙星片', '通滞苏润江胶囊', '玻璃酸钠注射液', '布洛芬缓释胶囊', '洛索洛芬钠片', '注射用头孢唑林钠', '双氯芬酸二乙胺乳胶剂']"
先天性仰趾外翻足,"['足痛', '足外翻', '乏力', '拇趾与二趾趾间距大']",[]
先天性锁骨假关节,"['胸骨隆凸', '锁骨上的搏动性肿块', '锁骨上及前斜角...']","['三七胶囊', '跌打丸', '止血镇痛胶囊', '活血止痛散', '接骨续筋片']"
先天性马蹄内翻足,"['脊柱裂', '冬雪峰', '肌肉萎缩']",[]
先天性髋内翻,"['疲劳', '无力', '下肢外展', '臀肌萎缩', '髋内翻']","['跳骨片', '盐酸氨基葡萄糖胶囊']"
先天性胫骨假关节,"['色素斑', '胫骨假关节形成']","['止血镇痛胶囊', '接骨续筋片']"
先天性脊柱侧凸,"['躯干畸形弯曲', '食欲不振', '胸廓畸形', '放射性疼痛', '消化不良']",[]
先天性肌性斜颈,['头颈部活动受限'],[]
先天性高肩胛症,"['短颈', '胸廓畸形', '脊柱的成角畸形']",[]
先天性尺桡骨融合,"['前臂有旋前畸形', '代超', '肘关节不能屈曲']",[]
颈椎双侧关节突关节脱位,"['头颈部剧痛', '头颈部活动受限', '神经根损伤', '颈椎痛']","['骨折挫伤胶囊', '复方三七胶囊', '跌打损伤丸', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '骨肽片', '独一味颗粒', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '八味秦皮丸', '舒筋活血胶囊', '鹿瓜多肽注射液']"
习惯性髌骨脱位,"['推髌抗阻痛', '髌前空虚感', '髌下疼痛', '膝关节疼痛', '髌骨疼痛', '膝关节肿大', '膝关节不能完全伸直']",['跳骨片']
膝关节结核,"['疲劳', '淋巴结肿大', '闫铁', '淋巴结结核', '食欲不振', '盗汗', '低热', '消瘦', '肌肉萎缩']","['麝香接骨胶囊', '关节止痛膏', '活血止痛胶囊', '甲芬那酸片', '跌打丸', '伤痛宁膏', '舒筋活血片', '吲哚美辛肠溶片', '龙血竭胶囊', '七厘胶囊']"
先天性桡骨缺如,"['桡骨头发育不良', '腕关节桡侧部位的疼痛']","['氢化可的松注射液', '双氯芬酸钠缓释胶囊']"
胸椎结核椎旁脓肿穿入胸腔,"['胸痛', '胸腔积液', '气短', '截瘫', '迁移性脓肿', '脓肿']","['对氨基水杨酸异烟肼片', '异烟肼片', '利福平胶囊']"
先天性颅锁骨发育不全,"['发育性骨盆异常', '颅骨连续性中断']",['接骨续筋片']
下背部痛,"['牵涉痛', '背痛', '紧张', '神经痛', '骨质疏松', '肌痛', '扭伤', '剧烈疼痛', '肌肉压痛', '佟新竹']","['阿司匹林肠溶片', '阿司匹林片', '腺苷钴胺片', '布洛芬片', '萘普生片']"
纤维肌痛症,"['失眠', '疲乏', '肌肉酸痛', '肌痛', '肌肉压痛', '肌肉痉挛性疼痛']","['阿司匹林片', '活血止痛胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '布洛芬片', '氯唑沙宗片']"
先天性椎体畸形,"['胸腰段及腰椎前凸消失', '脊柱的成角畸形', '脊柱侧弯', '胸椎畸形', '椎节分裂']",[]
先天性外展性髋挛缩,"['偏斜骨盆', '髋关节发育不良', '髋关节脱位']",[]
先天性胫骨缺如,"['足不能跖屈和内翻', '股骨近侧端变宽']","['止血镇痛胶囊', '接骨续筋片']"
先天性颈椎齿状突畸形,"['痉挛性斜颈', '头颈部活动受限', '颈部疼痛']",[]
先天性桡骨小头脱位,"['桡骨头发育不良', '肘关节不能屈曲', '肘关节脱位']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
先天性多发性关节挛缩症,"['肌肉发育不良', '足趾屈曲挛缩', '面部畸形', '缺血性挛缩']","['注射用头孢呋辛钠', '抗骨髓炎片']"
先天性垂直距骨,"['膝后肿胀疼痛，...', '疲劳', '足底凸起']",[]
系统性红斑狼疮性关节炎,"['非对称性关节痛', '溶血性贫血', '骨质疏松', '晨僵', '发热伴有皮疹', '病理性神经损伤']","['阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶胶囊', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片']"
膝关节创伤性滑膜炎,"['感染性发热', '创伤', '膝内翻', '青少年膝痛', '不能屈膝', '膝关节肿胀积血', '膝及小腿部有广...', '膝盖扭伤']","['布洛芬缓释混悬液', 'Ⅰ', '布洛芬缓释胶囊', '双氯芬酸钠肠溶片', '复方水杨酸甲酯乳膏', '双氯芬酸二乙胺凝胶', '布洛芬片', '双氯芬酸钠缓释片', '吲哚美辛胶囊', '依托芬那酯凝胶']"
膝关节半月板损伤,"['创伤', '膝盖砸伤肿痛', '膝关节间隙弹响和疼痛', '囊肿', '肌肉萎缩']","['酮洛芬凝胶', '活血止痛胶囊']"
先天性肩关节脱位,"['肩节后脱位', '肩关节活动受限', '上肢呈迟缓性麻痹', '肩胛骨酸痛']","['跳骨片', '灵仙跌打片']"
旋转带肌腱炎,"['上肢外展上举困难', '剧痛', '伸臂握手疼痛', '指、拇、脘的伸...', '肩胛带肌肉萎缩', '肩关节活动受限']","['布洛芬缓释混悬液', '萘丁美酮胶囊', '右旋布洛芬片', '双氯芬酸钠盐酸利多卡因注射液', 'Ⅰ', '萘普生钠氯化钠注射液', '双氯芬酸钠缓释片', '双氯芬酸二乙胺凝胶', '双氯芬酸钠肠溶胶囊', '姜酚胶丸', 'IV', '酮洛芬凝胶', '双氯芬酸钠肠溶缓释胶囊']"
腰肌劳损,"['臀部酸痛', '腰部的不稳交锁现象', '腰椎退化', '腰背酸痛', '产育过多后腰痛', '腰大肌痉挛', '胀痛', '腰肌痉挛']","['阿司匹林片', '活血止痛胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '布洛芬片', '氯唑沙宗片']"
月状骨骨软骨病,"['骨无菌性坏死', '腕关节桡侧部位的疼痛', '腕管综合征', '腕关节内积血及...']","['小儿四维葡钙颗粒', '阿法骨化醇片', '醋酸钙颗粒', '阿法骨化醇胶囊', '龙牡壮骨颗粒', '维B1乳酸钙片', '三维鱼肝油乳', '阿法骨化醇软胶囊']"
月骨脱位,"['腕部肿胀压痛', '指间关节不能屈曲', '手腕肿痛及掌屈...']",['跳骨片']
腰部慢性劳损,"['第3腰椎横突的...', '弯腰时腰痛', '腰软不能直起', '肌肉硬结', '侧腹壁或后腰部有压痛', '剧烈运动后腰痛']","['阿司匹林片', '活血止痛胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '布洛芬片', '氯唑沙宗片']"
眼眶击出性骨折,"['视神经萎缩', '瘫痪', '视力障碍', '眼球不能随意动', '眼睑浮肿', '粉碎性骨折', '眼球突出', '瘀血', '复视']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
眼眶骨折,"['眉下垂或位置低', '眼部胀痛', '眼球压痛', '视力障碍', '眼球内陷', '内出血', '眼球突出', '瘀血', '复视']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
坐骨神经痛,"['脊柱侧弯', '肌张力降低', '神经痛', '腱反射消失', '大腿以下或膝以...', '剧烈疼痛', '臀部闪电疼痛', '持续性疼痛', '背部酸痛']","['阿司匹林肠溶片', '阿司匹林片', '腺苷钴胺片', '布洛芬片', '萘普生片']"
跖骨疲劳性骨折,"['长时间或剧烈运...', '疲劳', '足部肿胀压痛', '运动功能障碍', '情绪性疲劳', '足跟步行']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
灼性神经痛,"['烧灼性疼痛', '面下部头痛', '神经痛', '始于眼部，扩张...', '前额针刺样痛或烧灼感']","['萘普生栓', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶胶囊', '贝诺酯片', '普瑞巴林胶囊', '三维B片', '萘普生片']"
椎管内结核肉芽肿,"['不明原因发热', '淋巴结结核', '瘫痪', '肉芽肿', '脊髓丘脑束受压', '脊髓受压']","['对氨基水杨酸异烟肼片', '异烟肼片', '利福平胶囊']"
肘关节结核,"['运动功能障碍', '骨质破坏', '血沉增快', '食欲减退', '盗汗', '低热', '消瘦', '脓肿']","['阿司匹林肠溶片', '硫酸氨基葡萄糖片', '阿司匹林肠溶胶囊', '硫酸氨基葡萄糖胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片', '乳酸左氧氟沙星片']"
跖骨、趾骨骨折,"['疲劳', '拇趾与二趾趾间距大', '足部肿胀压痛', '趾短小', '足畸形', '结节', '扭伤', '足趾伸屈时足部疼痛', '撕脱骨折']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
掌指关节脱位,"['运动功能障碍', '扭伤']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
肘关节脱位,"['神经伤', '肘关节畸形', '肘关节伸直位内...', '肘外侧夜间痛', '肘关节脱位']","['骨折挫伤胶囊', '复方三七胶囊', '麝香接骨胶囊', '接骨丸', '骨松宝胶囊', '双虎肿痛宁', '跌打丸', '独一味颗粒', '骨肽片', '伤科七味片', '舒筋活血片', '三七片', '8-11', '伤科跌打丸', '接骨七厘片', '灵仙跌打片', '骨炎灵片', '伤科跌打片', '舒筋活血胶囊', '跌打损伤丸']"
肢骨纹状肥大,"['髓质增生', '钝痛', '四肢发冷', '足外翻', '缺氧缺血性神经损伤', '肩关节活动受限']","['骨刺平片', '骨刺片', '骨刺胶囊', '骨质宁搽剂', '骨筋丸胶囊', '抗骨增生片', '威灵骨刺膏', '骨刺消痛胶囊', '抗骨质增生丸', '灵仙跌打片', '雪山金罗汉止痛涂膜剂', '骨刺消痛液', '藤黄健骨丸', '骨增生镇痛膏']"
椎弓结核,"['脊髓受压', '椎体结核', '截瘫', '脓肿', '肩周区弥散的钝...']","['对氨基水杨酸异烟肼片', '异烟肼片', '利福平胶囊']"
趾间神经痛,"['足趾伸屈时足部疼痛', '神经痛', '足底烧灼感', '足部肿胀压痛']","['萘普生栓', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶胶囊', '贝诺酯片', '普瑞巴林胶囊', '三维B片', '萘普生片']"
肘关节骨化肌炎,"['感染性发热', '肘关节疼痛', '肘外侧夜间痛', '持续性疼痛', '肩关节活动受限']","['阿司匹林肠溶片', '硫酸氨基葡萄糖片', '阿司匹林肠溶胶囊', '硫酸氨基葡萄糖胶囊', '双氯芬酸钠凝胶', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片', '乳酸左氧氟沙星片']"
肘关节强直,"['肘外侧肿痛及功能障碍', '晨僵', '肘管综合征', '肌肉萎缩']","['阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶胶囊', '双氯芬酸钠肠溶片', '双氯芬酸钠缓释片', '萘普生片']"
